"filename", "language", "JavaScript", "Markdown", "CSS", "JSON", "HTML", "Properties", "comment", "blank", "total"
"g:\self\fullstack\mockmate-optimize\frontend\src\components\shared\RenderAttachment.jsx", "JavaScript", 36, 0, 0, 0, 0, 0, 1, 6, 43
"g:\self\fullstack\mockmate-optimize\frontend\src\components\specific\ChatList.jsx", "JavaScript", 78, 0, 0, 0, 0, 0, 17, 24, 119
"g:\self\fullstack\mockmate-optimize\frontend\src\components\specific\CreatePost.jsx", "JavaScript", 162, 0, 0, 0, 0, 0, 5, 36, 203
"g:\self\fullstack\mockmate-optimize\frontend\src\components\specific\NotificationList.jsx", "JavaScript", 64, 0, 0, 0, 0, 0, 1, 16, 81
"g:\self\fullstack\mockmate-optimize\frontend\src\components\specific\PostList.jsx", "JavaScript", 105, 0, 0, 0, 0, 0, 14, 29, 148
"g:\self\fullstack\mockmate-optimize\frontend\src\components\styles\SelectFriendAnimation.jsx", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 5, 32
"g:\self\fullstack\mockmate-optimize\frontend\src\components\styles\StyledComponents.jsx", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 5, 17
"g:\self\fullstack\mockmate-optimize\frontend\src\constants\colors.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 3, 13
"g:\self\fullstack\mockmate-optimize\frontend\src\constants\config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 3, 2, 6
"g:\self\fullstack\mockmate-optimize\frontend\src\dialogs\CreatePostDialog.jsx", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 7, 32
"g:\self\fullstack\mockmate-optimize\frontend\src\dialogs\FileMenuDialog.jsx", "JavaScript", 119, 0, 0, 0, 0, 0, 2, 25, 146
"g:\self\fullstack\mockmate-optimize\frontend\src\dialogs\MeetConfirmDialog.jsx", "JavaScript", 92, 0, 0, 0, 0, 0, 2, 25, 119
"g:\self\fullstack\mockmate-optimize\frontend\src\dialogs\MeetRequestDialog.jsx", "JavaScript", 70, 0, 0, 0, 0, 0, 8, 24, 102
"g:\self\fullstack\mockmate-optimize\frontend\src\dialogs\PostItemDialogBox.jsx", "JavaScript", 219, 0, 0, 0, 0, 0, 82, 68, 369
"g:\self\fullstack\mockmate-optimize\frontend\src\dialogs\PostItemDialogBox_GPT.jsx", "JavaScript", 191, 0, 0, 0, 0, 0, 18, 31, 240
"g:\self\fullstack\mockmate-optimize\frontend\src\events\events.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 5, 11
"g:\self\fullstack\mockmate-optimize\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\self\fullstack\mockmate-optimize\frontend\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 5, 7, 26
"g:\self\fullstack\mockmate-optimize\frontend\src\library\ChatHomeAnimation_1.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\self\fullstack\mockmate-optimize\frontend\src\library\ChatHomeAnimation_2.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\self\fullstack\mockmate-optimize\frontend\src\library\functions.js", "JavaScript", 115, 0, 0, 0, 0, 0, 6, 40, 161
"g:\self\fullstack\mockmate-optimize\frontend\src\library\sampleData.js", "JavaScript", 372, 0, 0, 0, 0, 0, 1, 10, 383
"g:\self\fullstack\mockmate-optimize\frontend\src\loaders\ChatListLoader.jsx", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 4, 41
"g:\self\fullstack\mockmate-optimize\frontend\src\loaders\ErrorLoader.jsx", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 6, 35
"g:\self\fullstack\mockmate-optimize\frontend\src\loaders\HomeLoader.jsx", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 25
"g:\self\fullstack\mockmate-optimize\frontend\src\loaders\PostLoader.jsx", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 5, 26
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\ChatHome.jsx", "JavaScript", 22, 0, 0, 0, 0, 0, 5, 8, 35
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\ChatWindow.jsx", "JavaScript", 245, 0, 0, 0, 0, 0, 79, 102, 426
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\Home.jsx", "JavaScript", 101, 0, 0, 0, 0, 0, 21, 28, 150
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\Login.jsx", "JavaScript", 283, 0, 0, 0, 0, 0, 36, 48, 367
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\Login1.jsx", "JavaScript", 136, 0, 0, 0, 0, 0, 16, 21, 173
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\Meet.jsx", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 4, 11
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\MeetRoom.jsx", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 6, 16
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\MeetZEGO.jsx", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 14, 71
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\PageNotFound.jsx", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 5, 14
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\Profile.jsx", "JavaScript", 231, 0, 0, 0, 0, 0, 8, 37, 276
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\Register.jsx", "JavaScript", 257, 0, 0, 0, 0, 0, 21, 31, 309
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\TempDrawer.jsx", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 5, 27
"g:\self\fullstack\mockmate-optimize\frontend\src\pages\ValidateOTP.jsx", "JavaScript", 172, 0, 0, 0, 0, 0, 4, 21, 197
"g:\self\fullstack\mockmate-optimize\frontend\src\redux\api\api.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 11, 41
"g:\self\fullstack\mockmate-optimize\frontend\src\redux\reducers\auth.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 6, 28
"g:\self\fullstack\mockmate-optimize\frontend\src\redux\reducers\chat.js", "JavaScript", 39, 0, 0, 0, 0, 0, 3, 7, 49
"g:\self\fullstack\mockmate-optimize\frontend\src\redux\reducers\meet.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 6, 45
"g:\self\fullstack\mockmate-optimize\frontend\src\redux\reducers\misc.js", "JavaScript", 42, 0, 0, 0, 0, 0, 27, 10, 79
"g:\self\fullstack\mockmate-optimize\frontend\src\redux\reducers\post.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 6, 62
"g:\self\fullstack\mockmate-optimize\frontend\src\redux\store.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 3, 19
"g:\self\fullstack\mockmate-optimize\frontend\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"g:\self\fullstack\mockmate-optimize\frontend\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"g:\self\fullstack\mockmate-optimize\frontend\src\socket.js", "JavaScript", 21, 0, 0, 0, 0, 0, 54, 26, 101
"g:\self\fullstack\mockmate-optimize\frontend\src\utils\style.css", "CSS", 0, 0, 42, 0, 0, 0, 31, 14, 87
"Total", "-", 6521, 38, 139, 50424, 25, 12, 848, 1653, 59660
